Fecha	Vendedor	Zona	Cliente	Producto	Total
02/08/2019	Verónica	Este	Cliente-65	Agenda	$726
02/08/2019	Alejandro	Este	Cliente-8	Reloj	$226
03/08/2019	Carmen	Sur	Cliente-83	Bolsa	$151
04/08/2019	Guadalupe	Norte	Cliente-5	Taza	$851
04/08/2019	Pablo	Sur	Cliente-74	Llavero	$424
05/08/2019	Carmen	Oeste	Cliente-88	Gorra	$655
05/08/2019	Elena	Oeste	Cliente-30	Gorra	$908
05/08/2019	Margarita	Sur	Cliente-89	Lápiz	$834
05/08/2019	Teodoro	Oeste	Cliente-65	Agenda	$921
05/08/2019	Francisco	Sur	Cliente-99	Lápiz	$645
06/08/2019	Teodoro	Oeste	Cliente-91	Bolsa	$113
06/08/2019	Daniel	Norte	Cliente-51	Lápiz	$685
07/08/2019	Fernando	Sur	Cliente-41	Lápiz	$147
07/08/2019	Antonio	Sur	Cliente-80	Gorra	$799
07/08/2019	Fernando	Este	Cliente-39	Agenda	$313
07/08/2019	Josefina	Norte	Cliente-93	Llavero	$638
09/08/2019	Hugo	Norte	Cliente-40	Taza	$254
09/08/2019	Laura	Norte	Cliente-90	Lápiz	$922
09/08/2019	Daniel	Este	Cliente-84	Taza	$694
09/08/2019	Francisco	Oeste	Cliente-92	Gorra	$196
11/08/2019	Manuel	Oeste	Cliente-15	Gorra	$702
11/08/2019	Fabiola	Este	Cliente-22	Llavero	$397
11/08/2019	Margarita	Norte	Cliente-45	Llavero	$282
11/08/2019	Pedro	Este	Cliente-87	Lápiz	$394
12/08/2019	Teodoro	Sur	Cliente-88	Taza	$392
12/08/2019	Josefina	Este	Cliente-44	Agenda	$257
13/08/2019	Juan	Oeste	Cliente-12	Lápiz	$316
13/08/2019	Francisco	Este	Cliente-98	Bolsa	$466
15/08/2019	Antonio	Este	Cliente-43	Reloj	$254
17/08/2019	Manuel	Oeste	Cliente-47	Taza	$577
17/08/2019	Laura	Sur	Cliente-6	Reloj	$876
17/08/2019	Antonio	Sur	Cliente-4	Bolsa	$258
19/08/2019	Francisco	Este	Cliente-11	Agenda	$781
20/08/2019	Hugo	Norte	Cliente-44	Bolsa	$337
20/08/2019	Josefina	Este	Cliente-7	Lápiz	$416
20/08/2019	Pablo	Este	Cliente-22	Reloj	$781
20/08/2019	Margarita	Sur	Cliente-93	Bolsa	$303
21/08/2019	Francisco	Oeste	Cliente-33	Bolsa	$571
22/08/2019	Teodoro	Sur	Cliente-50	Reloj	$372
23/08/2019	Daniel	Norte	Cliente-25	Agenda	$346
23/08/2019	Pablo	Sur	Cliente-45	Agenda	$254
23/08/2019	Fabiola	Sur	Cliente-78	Agenda	$442
24/08/2019	Laura	Sur	Cliente-73	Taza	$535
24/08/2019	Guadalupe	Este	Cliente-54	Agenda	$258
25/08/2019	Verónica	Norte	Cliente-99	Bolsa	$303
25/08/2019	Fernando	Oeste	Cliente-37	Llavero	$781
25/08/2019	Antonio	Norte	Cliente-34	Reloj	$530
26/08/2019	Fernando	Oeste	Cliente-33	Taza	$719
26/08/2019	Teodoro	Oeste	Cliente-45	Llavero	$941
26/08/2019	Hugo	Norte	Cliente-50	Gorra	$565
26/08/2019	Verónica	Oeste	Cliente-59	Taza	$821
28/08/2019	Fabiola	Oeste	Cliente-99	Lápiz	$972
28/08/2019	Fabiola	Sur	Cliente-34	Taza	$583
28/08/2019	Pedro	Sur	Cliente-82	Bolsa	$461
30/08/2019	Daniel	Oeste	Cliente-81	Taza	$361
30/08/2019	Josefina	Sur	Cliente-70	Lápiz	$296
30/08/2019	Pablo	Este	Cliente-76	Gorra	$234
31/08/2019	Roberto	Oeste	Cliente-75	Bolsa	$454
31/08/2019	Fabiola	Este	Cliente-76	Agenda	$559
01/09/2019	Juan	Oeste	Cliente-28	Reloj	$328
02/09/2019	Antonio	Oeste	Cliente-15	Agenda	$623
02/09/2019	Josefina	Este	Cliente-45	Agenda	$807
02/09/2019	Roberto	Oeste	Cliente-86	Lápiz	$154
02/09/2019	Margarita	Este	Cliente-80	Bolsa	$767
03/09/2019	Elena	Norte	Cliente-37	Reloj	$951
03/09/2019	Fabiola	Este	Cliente-73	Llavero	$203
04/09/2019	Fernando	Este	Cliente-44	Llavero	$679
04/09/2019	Josefina	Este	Cliente-41	Gorra	$867
04/09/2019	Teodoro	Norte	Cliente-70	Gorra	$256
04/09/2019	Francisco	Sur	Cliente-48	Taza	$765
05/09/2019	Francisco	Sur	Cliente-48	Agenda	$717
06/09/2019	Francisco	Este	Cliente-57	Lápiz	$811
06/09/2019	Verónica	Oeste	Cliente-79	Reloj	$158
06/09/2019	Manuel	Este	Cliente-73	Reloj	$802
06/09/2019	Josefina	Sur	Cliente-41	Bolsa	$646
07/09/2019	Pablo	Sur	Cliente-26	Llavero	$603
07/09/2019	Alejandro	Oeste	Cliente-8	Bolsa	$101
08/09/2019	Daniel	Este	Cliente-33	Reloj	$266
08/09/2019	Juan	Oeste	Cliente-35	Bolsa	$382
08/09/2019	Hugo	Norte	Cliente-23	Gorra	$965
09/09/2019	Alejandro	Sur	Cliente-78	Lápiz	$101
09/09/2019	Teodoro	Sur	Cliente-46	Lápiz	$927
10/09/2019	Daniel	Norte	Cliente-41	Llavero	$787
11/09/2019	Laura	Sur	Cliente-45	Bolsa	$360
11/09/2019	Daniel	Oeste	Cliente-35	Agenda	$531
12/09/2019	Fabiola	Norte	Cliente-89	Bolsa	$155
13/09/2019	Guadalupe	Este	Cliente-91	Taza	$349
14/09/2019	Daniel	Este	Cliente-33	Lápiz	$908
14/09/2019	Guadalupe	Sur	Cliente-67	Taza	$566
14/09/2019	Alejandro	Este	Cliente-38	Llavero	$250
15/09/2019	Juan	Sur	Cliente-76	Gorra	$987
15/09/2019	Guadalupe	Oeste	Cliente-6	Agenda	$573
16/09/2019	Fabiola	Norte	Cliente-59	Lápiz	$732
17/09/2019	Josefina	Este	Cliente-49	Agenda	$734
17/09/2019	Hugo	Norte	Cliente-42	Gorra	$100
17/09/2019	Juan	Norte	Cliente-85	Llavero	$843
18/09/2019	Hugo	Sur	Cliente-10	Gorra	$972
18/09/2019	Roberto	Norte	Cliente-53	Reloj	$929
20/09/2019	Teodoro	Este	Cliente-45	Bolsa	$561
20/09/2019	Guadalupe	Oeste	Cliente-94	Lápiz	$443
21/09/2019	Fabiola	Sur	Cliente-94	Lápiz	$392
21/09/2019	Josefina	Norte	Cliente-69	Agenda	$588
21/09/2019	Fabiola	Norte	Cliente-56	Taza	$586
21/09/2019	Pedro	Norte	Cliente-32	Gorra	$499
22/09/2019	Fernando	Este	Cliente-28	Lápiz	$997
22/09/2019	Teodoro	Sur	Cliente-77	Agenda	$308
22/09/2019	Margarita	Sur	Cliente-14	Reloj	$467
23/09/2019	Roberto	Sur	Cliente-53	Gorra	$112
24/09/2019	Pedro	Oeste	Cliente-29	Lápiz	$261
24/09/2019	Teodoro	Sur	Cliente-30	Gorra	$888
24/09/2019	Teodoro	Oeste	Cliente-68	Gorra	$609
24/09/2019	Manuel	Norte	Cliente-35	Gorra	$893
24/09/2019	Fernando	Este	Cliente-7	Llavero	$344
25/09/2019	Fabiola	Sur	Cliente-31	Gorra	$342
25/09/2019	Pedro	Oeste	Cliente-53	Gorra	$106
26/09/2019	Francisco	Oeste	Cliente-26	Agenda	$314
27/09/2019	Hugo	Oeste	Cliente-92	Bolsa	$460
29/09/2019	Josefina	Este	Cliente-65	Agenda	$751
29/09/2019	Fabiola	Este	Cliente-16	Gorra	$250
30/09/2019	Hugo	Oeste	Cliente-3	Gorra	$985
01/10/2019	Margarita	Sur	Cliente-27	Taza	$233
01/10/2019	Juan	Oeste	Cliente-91	Llavero	$649
02/10/2019	Juan	Norte	Cliente-12	Bolsa	$811
02/10/2019	Roberto	Oeste	Cliente-40	Lápiz	$202
03/10/2019	Fernando	Norte	Cliente-18	Lápiz	$863
04/10/2019	Juan	Sur	Cliente-38	Lápiz	$729
04/10/2019	Fernando	Este	Cliente-34	Llavero	$978
06/10/2019	Hugo	Este	Cliente-44	Agenda	$441
06/10/2019	Elena	Sur	Cliente-64	Lápiz	$651
07/10/2019	Juan	Sur	Cliente-94	Taza	$613
09/10/2019	Antonio	Sur	Cliente-36	Taza	$750
09/10/2019	Margarita	Oeste	Cliente-52	Reloj	$873
10/10/2019	Teodoro	Sur	Cliente-16	Lápiz	$497
11/10/2019	Elena	Este	Cliente-83	Taza	$402
11/10/2019	Pedro	Norte	Cliente-90	Agenda	$573
11/10/2019	Elena	Sur	Cliente-11	Taza	$928
13/10/2019	Juan	Oeste	Cliente-23	Bolsa	$594
13/10/2019	Josefina	Norte	Cliente-18	Bolsa	$883
13/10/2019	Francisco	Oeste	Cliente-26	Llavero	$705
13/10/2019	Hugo	Sur	Cliente-2	Llavero	$297
14/10/2019	Laura	Oeste	Cliente-67	Taza	$693
14/10/2019	Francisco	Sur	Cliente-96	Lápiz	$893
14/10/2019	Alejandro	Sur	Cliente-72	Llavero	$615
14/10/2019	Fabiola	Norte	Cliente-48	Agenda	$607
14/10/2019	Hugo	Norte	Cliente-26	Agenda	$411
14/10/2019	Verónica	Norte	Cliente-6	Agenda	$496
14/10/2019	Fernando	Sur	Cliente-34	Lápiz	$420
15/10/2019	Laura	Norte	Cliente-80	Reloj	$763
15/10/2019	Margarita	Oeste	Cliente-25	Reloj	$940
16/10/2019	Teodoro	Sur	Cliente-75	Reloj	$732
17/10/2019	Verónica	Sur	Cliente-21	Gorra	$149
18/10/2019	Manuel	Este	Cliente-88	Agenda	$234
18/10/2019	Hugo	Sur	Cliente-57	Reloj	$428
19/10/2019	Teodoro	Oeste	Cliente-7	Reloj	$713
19/10/2019	Pablo	Sur	Cliente-24	Gorra	$338
19/10/2019	Verónica	Oeste	Cliente-99	Bolsa	$177
21/10/2019	Josefina	Sur	Cliente-5	Bolsa	$961
21/10/2019	Teodoro	Norte	Cliente-54	Taza	$149
22/10/2019	Fernando	Oeste	Cliente-44	Reloj	$999
22/10/2019	Guadalupe	Este	Cliente-98	Gorra	$953
22/10/2019	Antonio	Este	Cliente-14	Taza	$181
23/10/2019	Guadalupe	Oeste	Cliente-48	Lápiz	$819
24/10/2019	Hugo	Oeste	Cliente-80	Bolsa	$112
25/10/2019	Manuel	Norte	Cliente-59	Bolsa	$293
26/10/2019	Manuel	Este	Cliente-91	Llavero	$508
27/10/2019	Alejandro	Oeste	Cliente-51	Taza	$849
28/10/2019	Alejandro	Norte	Cliente-97	Reloj	$968
28/10/2019	Daniel	Sur	Cliente-97	Lápiz	$919
29/10/2019	Elena	Sur	Cliente-67	Taza	$763
29/10/2019	Fabiola	Sur	Cliente-46	Gorra	$959
30/10/2019	Teodoro	Oeste	Cliente-51	Llavero	$451
30/10/2019	Josefina	Este	Cliente-57	Llavero	$451
31/10/2019	Juan	Norte	Cliente-89	Reloj	$675
31/10/2019	Elena	Oeste	Cliente-62	Llavero	$914
01/11/2019	Fabiola	Oeste	Cliente-43	Agenda	$860
01/11/2019	Elena	Este	Cliente-27	Bolsa	$304
02/11/2019	Teodoro	Este	Cliente-68	Agenda	$380
03/11/2019	Hugo	Sur	Cliente-77	Bolsa	$648
04/11/2019	Alejandro	Este	Cliente-14	Reloj	$687
04/11/2019	Verónica	Sur	Cliente-26	Taza	$321
04/11/2019	Elena	Norte	Cliente-60	Lápiz	$488
06/11/2019	Manuel	Oeste	Cliente-12	Agenda	$566
07/11/2019	Margarita	Sur	Cliente-10	Lápiz	$681
07/11/2019	Pablo	Norte	Cliente-79	Reloj	$862
08/11/2019	Daniel	Oeste	Cliente-77	Lápiz	$703
09/11/2019	Josefina	Sur	Cliente-97	Lápiz	$322
09/11/2019	Pedro	Norte	Cliente-32	Gorra	$336
10/11/2019	Elena	Este	Cliente-6	Llavero	$267
10/11/2019	Juan	Norte	Cliente-81	Agenda	$936
10/11/2019	Fabiola	Sur	Cliente-79	Reloj	$213
11/11/2019	Daniel	Norte	Cliente-7	Agenda	$535
12/11/2019	Carmen	Oeste	Cliente-49	Agenda	$681
13/11/2019	Carmen	Este	Cliente-48	Gorra	$119
13/11/2019	Manuel	Oeste	Cliente-79	Reloj	$132
14/11/2019	Elena	Este	Cliente-56	Llavero	$708
14/11/2019	Pablo	Sur	Cliente-57	Agenda	$869
14/11/2019	Laura	Este	Cliente-44	Gorra	$803
15/11/2019	Guadalupe	Oeste	Cliente-96	Gorra	$430
15/11/2019	Carmen	Sur	Cliente-39	Reloj	$113
17/11/2019	Elena	Este	Cliente-84	Lápiz	$429
17/11/2019	Guadalupe	Sur	Cliente-24	Bolsa	$831
19/11/2019	Roberto	Sur	Cliente-80	Gorra	$655
19/11/2019	Roberto	Este	Cliente-14	Bolsa	$126
19/11/2019	Carmen	Este	Cliente-56	Reloj	$622
19/11/2019	Margarita	Sur	Cliente-94	Reloj	$246
20/11/2019	Fabiola	Sur	Cliente-13	Lápiz	$566
21/11/2019	Guadalupe	Oeste	Cliente-54	Reloj	$898
22/11/2019	Roberto	Sur	Cliente-47	Gorra	$167
22/11/2019	Elena	Sur	Cliente-51	Agenda	$539
22/11/2019	Teodoro	Norte	Cliente-44	Llavero	$376
23/11/2019	Verónica	Norte	Cliente-16	Llavero	$463
23/11/2019	Guadalupe	Oeste	Cliente-80	Bolsa	$914
24/11/2019	Pablo	Sur	Cliente-58	Reloj	$326
24/11/2019	Roberto	Oeste	Cliente-21	Agenda	$499
25/11/2019	Pablo	Este	Cliente-61	Gorra	$307
26/11/2019	Teodoro	Oeste	Cliente-56	Agenda	$404
27/11/2019	Francisco	Sur	Cliente-69	Llavero	$258
27/11/2019	Alejandro	Oeste	Cliente-18	Taza	$406
28/11/2019	Antonio	Oeste	Cliente-27	Reloj	$822
28/11/2019	Daniel	Este	Cliente-98	Gorra	$714
29/11/2019	Francisco	Sur	Cliente-34	Reloj	$292
29/11/2019	Manuel	Oeste	Cliente-88	Lápiz	$803
29/11/2019	Manuel	Norte	Cliente-70	Llavero	$862
30/11/2019	Roberto	Sur	Cliente-61	Llavero	$868
01/12/2019	Fernando	Sur	Cliente-70	Agenda	$572
01/12/2019	Pedro	Sur	Cliente-40	Agenda	$364
01/12/2019	Elena	Este	Cliente-37	Taza	$571
01/12/2019	Guadalupe	Oeste	Cliente-52	Taza	$216
03/12/2019	Elena	Sur	Cliente-88	Lápiz	$348
05/12/2019	Juan	Norte	Cliente-50	Agenda	$759
05/12/2019	Pablo	Sur	Cliente-92	Gorra	$113
05/12/2019	Pablo	Oeste	Cliente-92	Taza	$892
05/12/2019	Fabiola	Este	Cliente-69	Agenda	$213
06/12/2019	Fabiola	Sur	Cliente-53	Gorra	$936
06/12/2019	Juan	Norte	Cliente-35	Bolsa	$686
07/12/2019	Alejandro	Oeste	Cliente-81	Lápiz	$557
07/12/2019	Elena	Sur	Cliente-35	Taza	$546
07/12/2019	Josefina	Sur	Cliente-79	Gorra	$477
08/12/2019	Antonio	Norte	Cliente-42	Agenda	$922
08/12/2019	Francisco	Sur	Cliente-43	Agenda	$843
08/12/2019	Fabiola	Oeste	Cliente-37	Agenda	$746
08/12/2019	Verónica	Oeste	Cliente-5	Taza	$930
09/12/2019	Fabiola	Oeste	Cliente-15	Reloj	$473
09/12/2019	Hugo	Sur	Cliente-71	Reloj	$745
10/12/2019	Antonio	Este	Cliente-73	Agenda	$100
10/12/2019	Margarita	Oeste	Cliente-54	Taza	$299
11/12/2019	Josefina	Sur	Cliente-18	Agenda	$347
11/12/2019	Verónica	Sur	Cliente-35	Bolsa	$768
12/12/2019	Josefina	Este	Cliente-27	Agenda	$201
13/12/2019	Verónica	Norte	Cliente-78	Lápiz	$842
13/12/2019	Francisco	Sur	Cliente-96	Lápiz	$374
13/12/2019	Manuel	Oeste	Cliente-71	Llavero	$645
14/12/2019	Francisco	Oeste	Cliente-34	Llavero	$596
15/12/2019	Roberto	Este	Cliente-97	Agenda	$714
16/12/2019	Fernando	Norte	Cliente-56	Agenda	$118
18/12/2019	Elena	Norte	Cliente-94	Agenda	$794
18/12/2019	Fabiola	Norte	Cliente-51	Lápiz	$654
18/12/2019	Manuel	Norte	Cliente-54	Reloj	$738
19/12/2019	Antonio	Norte	Cliente-55	Bolsa	$356
20/12/2019	Teodoro	Norte	Cliente-17	Gorra	$242
20/12/2019	Francisco	Este	Cliente-26	Bolsa	$641
21/12/2019	Alejandro	Este	Cliente-5	Taza	$524
22/12/2019	Pablo	Oeste	Cliente-43	Agenda	$214
22/12/2019	Josefina	Sur	Cliente-49	Taza	$631
23/12/2019	Guadalupe	Sur	Cliente-62	Agenda	$762
24/12/2019	Alejandro	Oeste	Cliente-15	Gorra	$375
26/12/2019	Pablo	Sur	Cliente-22	Agenda	$212
26/12/2019	Alejandro	Oeste	Cliente-4	Gorra	$417
28/12/2019	Pedro	Oeste	Cliente-57	Taza	$919
28/12/2019	Pedro	Oeste	Cliente-48	Bolsa	$176
30/12/2019	Manuel	Este	Cliente-76	Taza	$967
30/12/2019	Hugo	Norte	Cliente-94	Reloj	$658
30/12/2019	Pedro	Sur	Cliente-1	Lápiz	$976
30/12/2019	Hugo	Sur	Cliente-23	Taza	$153
31/12/2019	Elena	Este	Cliente-97	Llavero	$682
31/12/2019	Elena	Sur	Cliente-32	Taza	$983
31/12/2019	Laura	Este	Cliente-65	Taza	$421
01/01/2020	Pablo	Oeste	Cliente-5	Taza	$410
01/01/2020	Francisco	Sur	Cliente-21	Reloj	$648
02/01/2020	Guadalupe	Sur	Cliente-57	Reloj	$329
02/01/2020	Hugo	Sur	Cliente-52	Gorra	$751
03/01/2020	Roberto	Sur	Cliente-5	Gorra	$694
03/01/2020	Fabiola	Oeste	Cliente-29	Agenda	$353
04/01/2020	Guadalupe	Norte	Cliente-47	Taza	$159
05/01/2020	Josefina	Sur	Cliente-19	Bolsa	$372
05/01/2020	Pedro	Sur	Cliente-44	Bolsa	$177
06/01/2020	Manuel	Oeste	Cliente-26	Reloj	$548
06/01/2020	Guadalupe	Norte	Cliente-3	Taza	$203
06/01/2020	Fabiola	Norte	Cliente-85	Lápiz	$349
07/01/2020	Antonio	Norte	Cliente-47	Lápiz	$443
07/01/2020	Manuel	Oeste	Cliente-85	Taza	$291
08/01/2020	Fernando	Este	Cliente-10	Bolsa	$583
08/01/2020	Margarita	Norte	Cliente-88	Taza	$893
10/01/2020	Pablo	Este	Cliente-64	Reloj	$692
12/01/2020	Pedro	Este	Cliente-5	Lápiz	$720
12/01/2020	Guadalupe	Norte	Cliente-18	Agenda	$445
13/01/2020	Pedro	Sur	Cliente-14	Gorra	$685
13/01/2020	Pedro	Norte	Cliente-12	Reloj	$226
14/01/2020	Daniel	Oeste	Cliente-79	Taza	$847
14/01/2020	Manuel	Norte	Cliente-43	Taza	$761
15/01/2020	Roberto	Este	Cliente-57	Agenda	$309
15/01/2020	Manuel	Sur	Cliente-51	Lápiz	$768
15/01/2020	Pedro	Este	Cliente-65	Lápiz	$442
15/01/2020	Elena	Sur	Cliente-87	Lápiz	$108
15/01/2020	Fabiola	Sur	Cliente-97	Taza	$221
16/01/2020	Guadalupe	Este	Cliente-78	Lápiz	$824
17/01/2020	Guadalupe	Este	Cliente-88	Gorra	$234
18/01/2020	Pablo	Este	Cliente-64	Reloj	$610
18/01/2020	Francisco	Norte	Cliente-3	Lápiz	$513
18/01/2020	Carmen	Oeste	Cliente-95	Llavero	$825
19/01/2020	Guadalupe	Norte	Cliente-29	Reloj	$105
19/01/2020	Laura	Este	Cliente-7	Agenda	$605
19/01/2020	Teodoro	Sur	Cliente-50	Bolsa	$958
19/01/2020	Teodoro	Este	Cliente-31	Gorra	$139
20/01/2020	Laura	Oeste	Cliente-17	Taza	$101
20/01/2020	Fernando	Sur	Cliente-55	Taza	$549
20/01/2020	Juan	Oeste	Cliente-91	Taza	$339
21/01/2020	Fernando	Norte	Cliente-71	Reloj	$630
22/01/2020	Manuel	Este	Cliente-56	Lápiz	$279
23/01/2020	Fabiola	Sur	Cliente-24	Reloj	$781
24/01/2020	Carmen	Sur	Cliente-32	Llavero	$727
25/01/2020	Alejandro	Sur	Cliente-30	Gorra	$888
26/01/2020	Josefina	Oeste	Cliente-57	Lápiz	$725
26/01/2020	Hugo	Este	Cliente-56	Bolsa	$963
26/01/2020	Roberto	Oeste	Cliente-35	Taza	$925
27/01/2020	Antonio	Oeste	Cliente-67	Bolsa	$595
27/01/2020	Elena	Sur	Cliente-5	Agenda	$977
28/01/2020	Juan	Oeste	Cliente-51	Taza	$621
28/01/2020	Pablo	Sur	Cliente-63	Taza	$549
31/01/2020	Francisco	Este	Cliente-37	Agenda	$223
31/01/2020	Daniel	Este	Cliente-92	Reloj	$218
01/02/2020	Fernando	Norte	Cliente-71	Agenda	$193
01/02/2020	Margarita	Oeste	Cliente-20	Bolsa	$821
01/02/2020	Hugo	Este	Cliente-98	Bolsa	$903
02/02/2020	Laura	Este	Cliente-42	Taza	$216
02/02/2020	Hugo	Oeste	Cliente-19	Agenda	$911
03/02/2020	Francisco	Oeste	Cliente-37	Reloj	$559
03/02/2020	Francisco	Oeste	Cliente-28	Lápiz	$167
04/02/2020	Carmen	Sur	Cliente-10	Lápiz	$867
04/02/2020	Pedro	Este	Cliente-98	Reloj	$937
04/02/2020	Fernando	Norte	Cliente-23	Lápiz	$699
05/02/2020	Carmen	Sur	Cliente-76	Reloj	$891
05/02/2020	Antonio	Este	Cliente-22	Taza	$163
05/02/2020	Juan	Este	Cliente-43	Agenda	$771
06/02/2020	Manuel	Sur	Cliente-19	Taza	$440
07/02/2020	Laura	Norte	Cliente-22	Reloj	$148
07/02/2020	Francisco	Norte	Cliente-98	Llavero	$730
07/02/2020	Hugo	Este	Cliente-21	Agenda	$108
08/02/2020	Pedro	Este	Cliente-6	Agenda	$417
08/02/2020	Fabiola	Oeste	Cliente-67	Bolsa	$818
09/02/2020	Fernando	Oeste	Cliente-8	Lápiz	$894
10/02/2020	Guadalupe	Norte	Cliente-31	Bolsa	$896
10/02/2020	Verónica	Sur	Cliente-72	Gorra	$187
11/02/2020	Manuel	Norte	Cliente-81	Llavero	$917
11/02/2020	Hugo	Oeste	Cliente-58	Reloj	$371
11/02/2020	Pablo	Sur	Cliente-8	Reloj	$572
11/02/2020	Roberto	Oeste	Cliente-25	Llavero	$870
11/02/2020	Alejandro	Oeste	Cliente-10	Agenda	$543
11/02/2020	Laura	Oeste	Cliente-63	Gorra	$113
11/02/2020	Francisco	Oeste	Cliente-37	Llavero	$212
12/02/2020	Francisco	Sur	Cliente-16	Agenda	$518
12/02/2020	Manuel	Sur	Cliente-43	Llavero	$809
12/02/2020	Carmen	Norte	Cliente-94	Llavero	$165
13/02/2020	Carmen	Sur	Cliente-50	Taza	$105
13/02/2020	Fabiola	Oeste	Cliente-64	Bolsa	$121
13/02/2020	Antonio	Oeste	Cliente-46	Reloj	$285
14/02/2020	Guadalupe	Oeste	Cliente-27	Llavero	$140
15/02/2020	Teodoro	Este	Cliente-32	Agenda	$375
15/02/2020	Manuel	Sur	Cliente-23	Agenda	$716
15/02/2020	Juan	Este	Cliente-94	Bolsa	$919
16/02/2020	Hugo	Oeste	Cliente-90	Gorra	$921
16/02/2020	Juan	Oeste	Cliente-14	Llavero	$313
16/02/2020	Juan	Norte	Cliente-65	Taza	$468
17/02/2020	Laura	Oeste	Cliente-59	Llavero	$968
17/02/2020	Juan	Norte	Cliente-44	Bolsa	$199
17/02/2020	Josefina	Este	Cliente-76	Reloj	$150
18/02/2020	Margarita	Norte	Cliente-31	Reloj	$953
19/02/2020	Antonio	Norte	Cliente-39	Llavero	$147
20/02/2020	Francisco	Oeste	Cliente-13	Agenda	$441
20/02/2020	Guadalupe	Este	Cliente-39	Reloj	$874
20/02/2020	Hugo	Este	Cliente-58	Gorra	$284
21/02/2020	Antonio	Norte	Cliente-84	Lápiz	$322
21/02/2020	Elena	Oeste	Cliente-52	Llavero	$356
